Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,77.000000,79.000000,73.000000,74.000000,74.000000,78118700
2021-03-05,74.000000,74.000000,71.000000,73.000000,73.000000,16515300
2021-03-08,73.000000,98.000000,72.000000,98.000000,98.000000,333386000
2021-03-09,106.000000,132.000000,99.000000,115.000000,115.000000,870895800
2021-03-10,116.000000,155.000000,116.000000,155.000000,155.000000,462652900
2021-03-12,158.000000,192.000000,145.000000,159.000000,159.000000,556413000
2021-03-15,159.000000,184.000000,152.000000,160.000000,160.000000,163872000
2021-03-16,160.000000,175.000000,160.000000,164.000000,164.000000,98815000
2021-03-17,160.000000,197.000000,160.000000,190.000000,190.000000,588471800
2021-03-18,190.000000,190.000000,190.000000,190.000000,190.000000,0
2021-03-19,190.000000,210.000000,177.000000,193.000000,193.000000,405785600
2021-03-22,193.000000,208.000000,185.000000,194.000000,194.000000,90469000
2021-03-23,196.000000,216.000000,187.000000,190.000000,190.000000,319968700
2021-03-24,194.000000,198.000000,184.000000,188.000000,188.000000,84675600
2021-03-25,188.000000,197.000000,175.000000,182.000000,182.000000,127551500
2021-03-26,183.000000,193.000000,182.000000,186.000000,186.000000,91741000
2021-03-29,190.000000,196.000000,187.000000,190.000000,190.000000,56974800
2021-03-30,190.000000,192.000000,177.000000,177.000000,177.000000,60359000
2021-03-31,177.000000,187.000000,165.000000,174.000000,174.000000,100582400
